Enrollment,Program,CGPA,12th Percentage,Board,Medium of Education,Native,Mode of Transportation,Family Annual Income(in lakhs),laptop,Members Earning in Family,Gender,Disability Status,Family Structure,Number of Students in Family,Intrested in higher studies in India,Interested in Higher Studies Abroad,Education Loan Taken,Father's Occupation,Extracurricular Participation,Achievements/Recognition in Extracurricular Activities,Community Service Participation,Positions of Responsibility Held,Internet Access,Distance from Home to University,Parents' Education Level,Chronic Illness or Disability
1011,CSE,6.47,70.87,ICSE,English,Bharuch,University Bus,15-20,Yes,3,Other,No,Single-parent,5,Yes,Yes,Yes,Govt. Employee,No,Yes,No,No,No,24.6,Undergraduate,No
1012,FEHS,8.07,99.87,State Board,Marathi,Ahmedabad,University Bus,Above 20,Yes,3,Male,Yes,Single-parent,5,Yes,Yes,Yes,Farmer,No,No,No,Yes,No,6.7,Undergraduate,No
1013,FEHS,8.72,70.71,State Board,English,Bharuch,Personal bike,Below 5,No,3,Female,Yes,Both parents,2,No,No,No,Other,Yes,No,Yes,No,Yes,16.3,Postgraduate,Yes
1014,BBA,5.79,77.88,CBSE,Gujarati,Surat,University Bus,Below 5,No,5,Other,No,Both parents,1,Yes,No,No,Govt. Employee,Yes,Yes,No,Yes,No,18.1,High School,No
1015,Chemical,5.61,91.96,ICSE,Marathi,Vadodara,University Bus,5-10,No,5,Female,No,Orphaned,1,No,Yes,Yes,Business,No,No,Yes,Yes,Yes,47.1,Undergraduate,Yes
1016,CSE,5.94,93.32,State Board,Gujarati,Bharuch,Personal bike,Below 5,No,5,Other,Yes,Both parents,2,Yes,No,No,Farmer,Yes,No,No,No,No,13.9,Postgraduate,No
1017,FEHS,7.02,50.15,State Board,English,Rajkot,University Bus,Above 20,Yes,1,Female,Yes,Orphaned,1,No,No,Yes,Other,Yes,No,No,No,Yes,46.9,Postgraduate,No
1018,FEHS,8.63,80.27,ICSE,Gujarati,Rajkot,Personal bike,5-10,Yes,2,Female,No,Single-parent,2,No,Yes,No,Farmer,Yes,No,Yes,No,Yes,35.1,High School,Yes
1019,Chemical,5.76,88.65,ICSE,English,Surat,Personal bike,Above 20,No,4,Male,No,Orphaned,2,Yes,Yes,Yes,Business,Yes,No,No,No,No,7.7,High School,Yes
1020,FEHS,7.4,91.7,ICSE,Marathi,Rajkot,Public Transport,Below 5,No,4,Male,Yes,Single-parent,4,No,No,Yes,Govt. Employee,No,No,Yes,No,No,11.0,Undergraduate,Yes
1021,FEHS,7.02,68.89,CBSE,Hindi,Vadodara,Personal bike,10-15,No,3,Other,No,Orphaned,3,No,Yes,Yes,Labour,No,No,No,No,Yes,16.2,Postgraduate,No
1022,FEHS,5.48,54.58,State Board,Gujarati,Surat,Public Transport,10-15,No,2,Other,No,Orphaned,5,No,Yes,No,Govt. Employee,Yes,No,No,No,Yes,49.4,Undergraduate,No
1023,CSE,5.53,70.8,State Board,English,Surat,Personal car,Above 20,No,1,Female,No,Single-parent,2,Yes,No,Yes,Farmer,No,No,No,No,Yes,17.3,High School,No
1024,FEHS,9.51,84.44,CBSE,Marathi,Rajkot,Public Transport,10-15,Yes,4,Male,No,Both parents,3,Yes,No,No,Govt. Employee,Yes,No,No,No,Yes,38.4,High School,No
1025,BBA,6.83,60.76,CBSE,Gujarati,Vadodara,Public Transport,5-10,Yes,5,Female,Yes,Both parents,5,Yes,No,Yes,Govt. Employee,Yes,No,Yes,Yes,Yes,33.1,Undergraduate,No
1026,Chemical,8.98,68.58,ICSE,Hindi,Vadodara,Personal bike,Below 5,Yes,4,Male,Yes,Both parents,4,No,No,No,Farmer,Yes,No,Yes,Yes,Yes,5.5,High School,Yes
1027,FEHS,6.78,69.29,CBSE,Marathi,Surat,University Bus,Below 5,Yes,3,Other,No,Orphaned,4,No,No,No,Labour,No,Yes,No,No,Yes,15.2,High School,Yes
1028,CSE,9.83,71.91,ICSE,Hindi,Ahmedabad,University Bus,5-10,Yes,5,Other,Yes,Orphaned,3,Yes,Yes,Yes,Govt. Employee,No,No,Yes,Yes,No,29.8,Undergraduate,No
1029,Chemical,6.78,68.64,ICSE,Hindi,Vadodara,Personal car,Above 20,Yes,2,Other,No,Orphaned,2,Yes,Yes,Yes,Farmer,Yes,No,No,No,Yes,39.3,High School,No
1030,CSE,5.85,94.39,CBSE,English,Rajkot,University Bus,15-20,No,1,Male,Yes,Orphaned,2,No,Yes,Yes,Business,Yes,No,No,No,No,37.8,Undergraduate,Yes
1031,Chemical,7.95,64.39,ICSE,Gujarati,Bharuch,Public Transport,Above 20,No,5,Male,Yes,Single-parent,5,Yes,Yes,No,Other,No,Yes,Yes,No,Yes,29.6,High School,Yes
1032,CSE,5.08,94.66,State Board,Hindi,Ahmedabad,University Bus,Above 20,Yes,5,Other,Yes,Single-parent,1,Yes,Yes,Yes,Labour,Yes,Yes,Yes,Yes,Yes,45.5,Postgraduate,No
1033,FEHS,5.17,89.31,ICSE,Gujarati,Vadodara,Public Transport,15-20,No,5,Male,No,Both parents,5,No,Yes,No,Labour,No,No,Yes,Yes,Yes,21.5,High School,No
1034,Chemical,7.27,97.55,CBSE,Gujarati,Vadodara,University Bus,Above 20,Yes,2,Female,Yes,Orphaned,5,No,Yes,No,Other,No,No,Yes,No,No,33.8,Postgraduate,No
1035,CSE,7.43,83.51,CBSE,Marathi,Bharuch,Personal car,5-10,No,1,Other,Yes,Orphaned,2,Yes,Yes,No,Business,No,Yes,Yes,Yes,No,24.2,Undergraduate,Yes
1036,CSE,9.98,99.33,ICSE,Hindi,Vadodara,Public Transport,Above 20,No,4,Other,No,Both parents,1,No,Yes,No,Labour,Yes,No,No,Yes,Yes,27.0,Postgraduate,Yes
1037,CSE,5.54,74.62,CBSE,Gujarati,Surat,University Bus,Above 20,Yes,3,Female,Yes,Single-parent,4,Yes,No,Yes,Farmer,Yes,No,Yes,No,Yes,9.7,High School,No
1038,Chemical,7.48,73.54,State Board,English,Vadodara,Personal bike,10-15,No,3,Male,Yes,Orphaned,3,No,Yes,No,Other,No,Yes,Yes,Yes,No,3.2,Undergraduate,Yes
1039,Chemical,6.99,68.07,State Board,Hindi,Surat,Personal bike,5-10,Yes,5,Male,No,Single-parent,3,Yes,Yes,No,Labour,No,No,Yes,Yes,Yes,12.2,High School,Yes
1040,FEHS,9.3,81.89,State Board,Marathi,Surat,Public Transport,5-10,No,4,Female,Yes,Both parents,2,Yes,Yes,No,Farmer,No,No,Yes,No,No,10.5,Undergraduate,Yes
1041,BBA,7.8,93.76,State Board,Gujarati,Bharuch,University Bus,10-15,Yes,3,Male,Yes,Both parents,4,No,No,Yes,Govt. Employee,Yes,No,No,Yes,Yes,1.9,High School,Yes
1042,BBA,5.65,50.18,State Board,Hindi,Bharuch,Personal bike,10-15,Yes,5,Female,Yes,Single-parent,5,Yes,No,Yes,Labour,Yes,No,No,No,Yes,15.8,Postgraduate,Yes
1043,Chemical,5.82,70.45,CBSE,English,Ahmedabad,Personal car,10-15,No,1,Female,Yes,Orphaned,5,Yes,Yes,Yes,Labour,Yes,Yes,Yes,No,No,38.8,High School,Yes
1044,CSE,9.99,90.94,ICSE,Marathi,Bharuch,Public Transport,5-10,Yes,1,Male,Yes,Both parents,5,Yes,Yes,Yes,Other,Yes,No,Yes,Yes,Yes,2.7,Undergraduate,No
1045,FEHS,5.93,58.88,CBSE,Hindi,Rajkot,Personal bike,5-10,Yes,4,Other,No,Both parents,1,No,No,No,Other,No,No,No,No,No,15.4,Undergraduate,Yes
1046,CSE,8.74,96.71,State Board,English,Rajkot,Personal bike,Below 5,No,4,Other,No,Both parents,5,No,No,No,Business,Yes,No,Yes,No,No,48.8,Postgraduate,No
1047,CSE,8.83,78.95,ICSE,English,Rajkot,Personal bike,5-10,No,5,Male,Yes,Orphaned,3,No,Yes,No,Govt. Employee,No,Yes,No,Yes,No,41.0,Postgraduate,No
1048,BBA,5.32,92.16,ICSE,Marathi,Bharuch,University Bus,15-20,No,3,Other,Yes,Orphaned,1,Yes,Yes,Yes,Other,No,Yes,Yes,No,Yes,48.8,Postgraduate,No
1049,FEHS,6.16,62.96,ICSE,Hindi,Ahmedabad,University Bus,5-10,Yes,2,Female,No,Orphaned,2,Yes,Yes,No,Govt. Employee,No,No,Yes,No,Yes,12.1,Postgraduate,No
1050,Chemical,7.93,93.82,State Board,Gujarati,Ahmedabad,Public Transport,Above 20,Yes,2,Other,No,Single-parent,3,No,No,Yes,Labour,No,No,No,No,Yes,30.0,Postgraduate,No
1051,Chemical,5.54,59.46,CBSE,Hindi,Rajkot,Personal car,15-20,Yes,4,Other,No,Single-parent,4,Yes,Yes,No,Labour,No,No,No,No,No,14.9,Postgraduate,No
1052,Chemical,7.06,81.46,ICSE,Gujarati,Rajkot,University Bus,5-10,Yes,1,Female,No,Both parents,5,No,Yes,No,Govt. Employee,No,No,Yes,Yes,Yes,34.7,Undergraduate,No
1053,CSE,7.79,73.82,CBSE,Hindi,Vadodara,Public Transport,Below 5,No,1,Other,No,Orphaned,1,No,No,No,Farmer,Yes,Yes,No,Yes,No,15.2,Undergraduate,Yes
1054,BBA,9.64,84.34,ICSE,Gujarati,Vadodara,Personal bike,10-15,No,4,Male,No,Both parents,1,No,No,Yes,Labour,Yes,No,No,Yes,No,14.3,Undergraduate,No
1055,BBA,8.19,77.81,State Board,English,Surat,Personal bike,10-15,Yes,1,Male,Yes,Single-parent,3,Yes,Yes,No,Govt. Employee,No,No,Yes,No,Yes,14.2,Postgraduate,Yes
1056,FEHS,6.18,67.48,CBSE,English,Rajkot,Public Transport,5-10,Yes,5,Male,No,Both parents,2,No,No,Yes,Govt. Employee,No,No,Yes,No,Yes,19.3,Undergraduate,Yes
1057,Chemical,6.78,97.28,State Board,Marathi,Vadodara,Personal bike,15-20,No,5,Male,Yes,Both parents,5,No,Yes,No,Labour,Yes,Yes,Yes,Yes,No,26.8,Undergraduate,No
1058,Chemical,9.74,80.7,ICSE,Marathi,Surat,University Bus,Above 20,No,2,Male,No,Orphaned,5,No,No,Yes,Other,Yes,Yes,No,No,No,4.8,Postgraduate,Yes
1059,FEHS,6.3,89.28,ICSE,Gujarati,Rajkot,University Bus,10-15,No,5,Other,No,Single-parent,5,Yes,No,Yes,Labour,No,No,No,Yes,Yes,13.7,High School,No
1060,CSE,5.68,94.39,ICSE,English,Vadodara,Personal car,Above 20,No,3,Other,Yes,Orphaned,3,No,Yes,No,Labour,Yes,Yes,Yes,Yes,No,47.0,High School,No
1061,Chemical,5.54,87.86,ICSE,Hindi,Rajkot,Personal bike,15-20,No,4,Other,Yes,Single-parent,4,Yes,No,Yes,Govt. Employee,Yes,No,Yes,Yes,No,4.3,Undergraduate,No
1062,BBA,5.39,60.57,ICSE,English,Ahmedabad,University Bus,5-10,Yes,4,Other,No,Both parents,4,No,Yes,No,Other,Yes,Yes,No,No,Yes,19.4,High School,No
1063,Chemical,8.29,74.34,ICSE,Hindi,Ahmedabad,Personal bike,Below 5,Yes,2,Other,Yes,Both parents,2,No,No,No,Govt. Employee,No,Yes,Yes,No,Yes,45.8,Postgraduate,Yes
1064,BBA,7.79,77.1,CBSE,Marathi,Surat,Personal bike,15-20,Yes,2,Male,Yes,Orphaned,1,Yes,No,Yes,Govt. Employee,No,No,No,No,No,30.9,Postgraduate,Yes
1065,FEHS,6.55,60.85,State Board,Marathi,Ahmedabad,University Bus,10-15,No,3,Other,No,Orphaned,2,Yes,Yes,No,Govt. Employee,No,No,No,Yes,Yes,31.7,High School,Yes
1066,BBA,9.24,65.56,CBSE,Gujarati,Vadodara,University Bus,5-10,Yes,5,Female,No,Both parents,4,No,Yes,No,Labour,Yes,Yes,Yes,No,No,15.3,High School,Yes
1067,CSE,9.57,68.56,ICSE,Gujarati,Bharuch,Personal bike,Above 20,Yes,2,Other,Yes,Single-parent,4,Yes,Yes,No,Business,No,Yes,No,Yes,Yes,40.4,Undergraduate,Yes
1068,FEHS,6.7,95.02,State Board,English,Bharuch,University Bus,Above 20,No,2,Female,Yes,Both parents,4,No,Yes,Yes,Govt. Employee,Yes,No,Yes,No,Yes,37.5,Undergraduate,No
1069,Chemical,6.46,73.48,CBSE,Gujarati,Bharuch,Personal car,5-10,Yes,2,Male,No,Single-parent,4,Yes,No,No,Business,No,No,Yes,No,No,3.5,High School,No
1070,CSE,9.51,72.54,CBSE,English,Rajkot,University Bus,Above 20,Yes,5,Other,No,Orphaned,5,No,Yes,Yes,Farmer,No,No,Yes,No,No,43.9,Postgraduate,No
1071,BBA,7.36,82.03,ICSE,Hindi,Bharuch,Personal bike,Above 20,Yes,5,Female,Yes,Orphaned,2,Yes,Yes,No,Farmer,No,No,Yes,No,No,45.5,Undergraduate,Yes
1072,CSE,8.73,56.53,CBSE,English,Bharuch,Personal car,15-20,No,3,Male,No,Orphaned,3,Yes,No,Yes,Govt. Employee,No,No,Yes,Yes,No,44.6,High School,No
1073,FEHS,9.71,76.79,State Board,Hindi,Bharuch,Public Transport,Below 5,No,1,Other,No,Orphaned,1,No,Yes,Yes,Farmer,No,No,Yes,No,Yes,17.7,Postgraduate,No
1074,Chemical,8.21,51.93,CBSE,English,Bharuch,Personal bike,15-20,No,4,Female,Yes,Both parents,5,Yes,Yes,Yes,Other,Yes,No,Yes,No,No,3.9,Postgraduate,No
1075,FEHS,5.88,88.61,State Board,Gujarati,Rajkot,Public Transport,Above 20,Yes,4,Other,No,Both parents,2,No,No,No,Business,No,Yes,No,No,No,44.8,Postgraduate,Yes
1076,Chemical,5.16,70.76,State Board,Marathi,Ahmedabad,Personal bike,15-20,Yes,1,Other,No,Single-parent,3,No,No,Yes,Other,Yes,Yes,Yes,No,Yes,30.6,High School,Yes
1077,CSE,7.87,55.29,ICSE,Marathi,Ahmedabad,Personal car,Below 5,No,1,Male,No,Orphaned,4,No,No,Yes,Other,No,Yes,No,No,Yes,43.4,Postgraduate,Yes
1078,CSE,7.26,95.88,State Board,Marathi,Ahmedabad,Personal bike,15-20,No,5,Other,Yes,Orphaned,2,Yes,Yes,No,Farmer,Yes,No,No,No,No,45.9,High School,Yes
1079,CSE,8.76,67.7,State Board,Hindi,Bharuch,Public Transport,10-15,No,4,Male,No,Orphaned,4,Yes,No,Yes,Other,Yes,Yes,Yes,Yes,No,13.2,High School,Yes
1080,CSE,8.21,87.74,ICSE,Hindi,Bharuch,Personal car,10-15,No,3,Female,Yes,Both parents,3,Yes,Yes,No,Other,Yes,No,Yes,Yes,No,24.3,Postgraduate,Yes
1081,BBA,10.0,83.46,CBSE,Marathi,Vadodara,Personal car,Above 20,No,5,Female,Yes,Single-parent,3,Yes,No,Yes,Govt. Employee,No,Yes,Yes,Yes,No,37.7,High School,No
1082,BBA,6.54,73.43,State Board,Marathi,Bharuch,Personal bike,5-10,Yes,3,Male,Yes,Orphaned,1,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,32.7,Undergraduate,Yes
1083,BBA,5.02,57.55,State Board,Gujarati,Bharuch,Personal bike,Below 5,Yes,2,Other,Yes,Both parents,1,No,No,Yes,Labour,No,Yes,No,No,No,6.4,Undergraduate,No
1084,BBA,6.81,97.15,State Board,Hindi,Vadodara,Public Transport,5-10,Yes,3,Other,Yes,Both parents,2,Yes,No,Yes,Govt. Employee,Yes,Yes,No,No,No,31.6,High School,Yes
1085,Chemical,7.78,52.25,CBSE,English,Rajkot,University Bus,15-20,No,4,Female,Yes,Both parents,5,No,Yes,Yes,Business,Yes,Yes,Yes,Yes,No,7.3,Undergraduate,Yes
1086,FEHS,6.78,96.01,ICSE,Marathi,Surat,University Bus,5-10,No,4,Other,No,Single-parent,1,Yes,No,Yes,Labour,No,No,No,Yes,Yes,22.1,High School,Yes
1087,Chemical,9.12,80.11,ICSE,English,Vadodara,University Bus,5-10,No,2,Female,Yes,Both parents,2,Yes,Yes,Yes,Other,Yes,No,Yes,Yes,No,3.1,Undergraduate,Yes
1088,FEHS,5.77,72.29,State Board,Gujarati,Ahmedabad,Personal bike,Above 20,Yes,4,Other,Yes,Orphaned,4,No,No,Yes,Govt. Employee,Yes,Yes,Yes,No,Yes,30.0,Undergraduate,Yes
1089,FEHS,9.72,55.71,ICSE,English,Surat,University Bus,10-15,No,2,Female,No,Both parents,2,Yes,No,No,Other,No,Yes,No,No,No,32.6,High School,Yes
1090,Chemical,6.1,87.58,CBSE,Marathi,Rajkot,Personal car,15-20,Yes,2,Other,Yes,Single-parent,3,No,Yes,Yes,Govt. Employee,No,No,Yes,No,No,16.4,Undergraduate,Yes
1091,FEHS,8.49,55.6,ICSE,English,Vadodara,Public Transport,5-10,Yes,4,Male,No,Single-parent,2,Yes,No,Yes,Govt. Employee,No,No,Yes,Yes,Yes,9.1,Postgraduate,Yes
1092,CSE,8.34,69.68,ICSE,English,Rajkot,Public Transport,15-20,No,5,Male,Yes,Orphaned,5,No,Yes,Yes,Farmer,Yes,No,No,No,No,42.7,High School,No
1093,CSE,5.21,83.69,CBSE,Marathi,Ahmedabad,Personal car,Above 20,Yes,1,Other,Yes,Both parents,4,No,No,Yes,Farmer,No,No,Yes,No,Yes,38.3,Postgraduate,No
1094,BBA,6.64,84.95,CBSE,Hindi,Vadodara,Personal bike,10-15,No,5,Male,Yes,Orphaned,5,Yes,No,No,Other,Yes,No,No,Yes,Yes,11.1,Postgraduate,No
1095,Chemical,9.36,61.91,ICSE,Gujarati,Rajkot,University Bus,Above 20,No,3,Other,No,Single-parent,5,No,No,No,Business,No,No,No,Yes,No,18.5,Postgraduate,Yes
1096,CSE,7.94,65.08,State Board,English,Bharuch,Personal bike,15-20,No,5,Female,No,Both parents,4,No,Yes,Yes,Labour,No,Yes,No,Yes,Yes,1.4,High School,No
1097,Chemical,6.04,83.15,State Board,Gujarati,Rajkot,University Bus,15-20,Yes,5,Male,Yes,Orphaned,5,No,No,No,Govt. Employee,No,Yes,Yes,No,Yes,7.7,Undergraduate,No
1098,CSE,5.49,76.16,CBSE,English,Bharuch,Personal car,5-10,Yes,1,Other,Yes,Orphaned,1,No,Yes,No,Business,Yes,No,Yes,No,No,17.7,High School,Yes
1099,BBA,9.02,85.86,State Board,Marathi,Vadodara,Public Transport,10-15,No,2,Other,Yes,Orphaned,2,Yes,No,No,Farmer,No,Yes,Yes,No,Yes,23.1,High School,No
1100,BBA,5.85,54.84,ICSE,Hindi,Ahmedabad,Public Transport,Below 5,No,1,Other,Yes,Orphaned,1,No,No,No,Labour,No,Yes,Yes,No,Yes,23.4,Undergraduate,No
1101,CSE,6.21,59.13,CBSE,Gujarati,Vadodara,Personal car,15-20,No,2,Female,No,Orphaned,2,No,Yes,No,Labour,Yes,No,Yes,No,No,19.6,High School,No
1102,Chemical,5.55,78.97,ICSE,Hindi,Surat,Personal car,5-10,Yes,5,Female,Yes,Orphaned,2,No,No,No,Labour,No,No,Yes,Yes,Yes,16.8,Undergraduate,No
1103,FEHS,7.34,83.48,State Board,Gujarati,Vadodara,Public Transport,Above 20,No,1,Other,No,Orphaned,5,Yes,No,Yes,Business,No,Yes,No,No,Yes,26.7,High School,Yes
1104,BBA,5.35,75.07,CBSE,Marathi,Surat,Personal bike,5-10,Yes,4,Male,Yes,Both parents,1,No,Yes,No,Labour,Yes,No,Yes,Yes,No,25.3,High School,No
1105,CSE,8.24,56.89,CBSE,Hindi,Vadodara,Public Transport,10-15,Yes,1,Other,Yes,Single-parent,4,Yes,No,Yes,Other,Yes,No,No,Yes,No,37.2,Postgraduate,Yes
1106,CSE,8.61,64.92,CBSE,English,Vadodara,Personal car,5-10,Yes,5,Male,No,Both parents,4,Yes,No,No,Farmer,Yes,No,Yes,No,No,24.5,Undergraduate,No
1107,Chemical,7.6,70.57,State Board,English,Bharuch,Personal car,Above 20,Yes,1,Male,Yes,Single-parent,1,Yes,Yes,No,Farmer,Yes,No,Yes,Yes,No,32.0,High School,Yes
1108,CSE,9.22,55.39,State Board,Marathi,Ahmedabad,Public Transport,5-10,Yes,4,Female,No,Single-parent,2,Yes,Yes,No,Other,Yes,Yes,No,No,No,43.1,Undergraduate,No
1109,FEHS,7.8,90.61,State Board,Marathi,Ahmedabad,Personal bike,Below 5,No,3,Other,Yes,Orphaned,1,Yes,Yes,Yes,Labour,No,No,No,Yes,No,35.9,Postgraduate,Yes
1110,BBA,6.58,56.52,CBSE,Marathi,Surat,Personal bike,5-10,Yes,1,Male,No,Single-parent,3,No,No,Yes,Business,Yes,No,Yes,No,Yes,24.4,Undergraduate,Yes
1111,Chemical,8.18,97.81,State Board,Hindi,Bharuch,University Bus,10-15,Yes,1,Male,Yes,Orphaned,4,Yes,Yes,Yes,Other,No,Yes,No,Yes,No,3.5,Postgraduate,No
1112,BBA,6.2,77.26,ICSE,English,Ahmedabad,Personal car,10-15,No,5,Female,No,Both parents,5,Yes,Yes,No,Govt. Employee,Yes,Yes,Yes,Yes,No,46.8,High School,No
1113,CSE,8.22,93.43,CBSE,English,Rajkot,Personal car,5-10,Yes,3,Male,Yes,Single-parent,5,No,Yes,Yes,Farmer,No,Yes,No,Yes,No,20.3,Undergraduate,No
1114,CSE,8.04,89.35,CBSE,Hindi,Ahmedabad,Personal car,5-10,No,2,Female,No,Single-parent,3,Yes,No,Yes,Farmer,Yes,Yes,Yes,No,Yes,49.8,High School,Yes
1115,CSE,9.06,66.54,State Board,Gujarati,Vadodara,Personal car,10-15,No,5,Other,No,Single-parent,5,Yes,Yes,Yes,Labour,Yes,No,No,Yes,Yes,40.0,Undergraduate,Yes
1116,FEHS,8.58,96.38,ICSE,Marathi,Ahmedabad,Personal bike,10-15,Yes,4,Female,Yes,Single-parent,4,Yes,No,No,Farmer,Yes,No,Yes,Yes,No,8.8,High School,Yes
1117,Chemical,8.88,56.74,CBSE,Hindi,Vadodara,Personal car,15-20,Yes,1,Female,Yes,Both parents,3,No,Yes,Yes,Govt. Employee,Yes,Yes,Yes,No,Yes,29.4,High School,No
1118,BBA,5.48,63.99,ICSE,Hindi,Surat,Public Transport,Below 5,No,3,Male,Yes,Orphaned,1,No,No,No,Other,No,Yes,No,No,Yes,4.6,High School,No
1119,Chemical,6.44,66.23,CBSE,English,Bharuch,University Bus,5-10,Yes,4,Other,No,Both parents,3,Yes,No,No,Farmer,No,No,Yes,Yes,Yes,36.0,Undergraduate,No
1120,CSE,7.27,94.12,CBSE,Hindi,Ahmedabad,Personal car,5-10,No,4,Male,No,Both parents,5,Yes,Yes,Yes,Govt. Employee,No,No,No,Yes,Yes,20.7,Postgraduate,No
1121,FEHS,7.87,94.06,State Board,Gujarati,Surat,University Bus,15-20,No,5,Male,No,Orphaned,5,Yes,No,Yes,Govt. Employee,No,No,No,Yes,No,34.9,Undergraduate,No
1122,CSE,7.15,80.38,ICSE,English,Surat,University Bus,Above 20,Yes,1,Male,Yes,Orphaned,4,No,No,No,Labour,Yes,Yes,Yes,No,No,19.4,Undergraduate,No
1123,Chemical,9.12,89.95,CBSE,Gujarati,Ahmedabad,University Bus,15-20,Yes,1,Female,Yes,Orphaned,2,No,Yes,No,Labour,No,No,Yes,Yes,No,14.6,High School,Yes
1124,BBA,5.28,58.33,State Board,Gujarati,Ahmedabad,University Bus,Above 20,Yes,2,Male,Yes,Orphaned,4,No,Yes,Yes,Labour,Yes,Yes,No,Yes,Yes,36.7,Undergraduate,No
1125,FEHS,6.27,79.38,State Board,Gujarati,Bharuch,Public Transport,Below 5,No,4,Male,No,Orphaned,5,No,Yes,Yes,Govt. Employee,Yes,No,No,No,Yes,37.7,High School,Yes
1126,Chemical,5.52,57.17,CBSE,Marathi,Bharuch,University Bus,Below 5,Yes,3,Female,Yes,Orphaned,4,No,No,No,Other,Yes,No,No,Yes,No,14.3,Postgraduate,Yes
1127,FEHS,7.46,78.13,State Board,Marathi,Bharuch,Personal bike,10-15,No,3,Female,Yes,Orphaned,2,Yes,No,Yes,Labour,No,Yes,No,Yes,Yes,2.5,Undergraduate,Yes
1128,FEHS,7.9,59.05,State Board,Hindi,Rajkot,University Bus,10-15,Yes,5,Other,Yes,Both parents,5,No,No,No,Other,Yes,No,Yes,Yes,Yes,14.2,High School,No
1129,CSE,7.5,71.42,CBSE,Gujarati,Surat,Personal bike,Above 20,No,4,Male,No,Single-parent,5,No,Yes,Yes,Other,No,No,No,No,No,7.9,High School,Yes
1130,Chemical,6.18,52.73,ICSE,Hindi,Surat,Public Transport,15-20,No,4,Female,No,Orphaned,1,Yes,Yes,Yes,Labour,No,No,Yes,No,Yes,27.6,Postgraduate,No
1131,CSE,7.72,68.51,ICSE,English,Vadodara,Personal car,5-10,Yes,4,Female,Yes,Both parents,4,No,Yes,Yes,Business,Yes,Yes,Yes,Yes,Yes,40.1,Undergraduate,Yes
1132,FEHS,6.28,99.47,State Board,Marathi,Ahmedabad,University Bus,Below 5,No,4,Other,Yes,Orphaned,4,Yes,Yes,No,Govt. Employee,No,Yes,Yes,No,Yes,36.0,Postgraduate,No
1133,BBA,7.28,79.95,State Board,Marathi,Ahmedabad,Public Transport,Above 20,Yes,1,Male,No,Both parents,5,No,Yes,Yes,Labour,No,Yes,Yes,Yes,Yes,16.1,Undergraduate,No
